area,type,total,price,name
甘井子区,低楼层(共31层)|2020年建|2室2厅|81.67平米|西南, 75万,"9,184元/平",招商海德公园
甘井子区,中楼层(共26层)|2016年建|3室2厅|116.04平米|南北, 160万,"13,789元/平",金地檀境
甘井子区,高楼层(共11层)|2015年建|2室1厅|86.41平米|南北, 130万,"15,045元/平",金地艺境
甘井子区,高楼层(共6层)|2000年建|1室1厅|42.43平米|南, 58万,"13,670元/平",泡崖六区
甘井子区,中楼层(共11层)|2015年建|3室1厅|93.36平米|南北, 135万,"14,461元/平",益丰乾城
甘井子区,高楼层(共33层)|2013年建|3室1厅|140平米|南北, 352万,"25,143元/平",华润置地广场一期
甘井子区,高楼层(共7层)|2004年建|2室1厅|67.45平米|南北, 80万,"11,861元/平",泡崖七区
甘井子区,中楼层(共5层)|2009年建|2室2厅|107.76平米|北南, 189.8万,"17,614元/平",新星绿城五期
甘井子区,高楼层(共33层)|2018年建|1室1厅|75.6平米|南, 165万,"21,826元/平",远洋荣域B2区
甘井子区,中楼层(共11层)|2014年建|2室1厅|72.93平米|南, 100万,"13,712元/平",宇圣明珠
甘井子区,中楼层(共7层)|2003年建|1室1厅|33.2平米|西南, 65万,"19,579元/平",大连门广场
甘井子区,高楼层(共13层)|2004年建|2室1厅|57.12平米|西南, 75万,"13,131元/平",东特新天地
甘井子区,中楼层(共12层)|2008年建|2室2厅|99.76平米|南北, 175万,"17,543元/平",加州洋房
甘井子区,中楼层(共6层)|1992年建|2室1厅|55.2平米|南西北, 115.92万,"21,000元/平",金安街
甘井子区,高楼层(共5层)|2010年建|3室2厅|81.15平米|南北, 230万,"28,343元/平",鼎新鼎润四季
甘井子区,中楼层(共11层)|2016年建|2室1厅|85.52平米|南北, 123万,"14,383元/平",三寰融创城南园
甘井子区,高楼层(共30层)|2017年建|2室2厅|89.11平米|南北, 268万,"30,076元/平",远洋钻石湾三期
甘井子区,中楼层(共19层)|2014年建|2室1厅|98.73平米|南北, 150万,"15,193元/平",水畔精品
甘井子区,中楼层(共5层)|2004年建|2室2厅|68.76平米|南北, 95万,"13,817元/平",顺达温泉花园二期
甘井子区,中楼层(共5层)4室2厅|114.99平米|南北, 380万,"33,047元/平",亿达春田馥园
甘井子区,低楼层(共7层)|1997年建|2室1厅|53.44平米|南北, 69.9万,"13,081元/平",泡崖二区
甘井子区,高楼层(共34层)|2020年建|3室2厅|97.95平米|南北东, 145万,"14,804元/平",金地自在城
甘井子区,高楼层(共6层)|2003年建|2室1厅|38.86平米|南, 55万,"14,154元/平",泡崖美林园
甘井子区,高楼层(共7层)|2003年建|2室1厅|67.7平米|南北, 87万,"12,851元/平",泡崖美林园
甘井子区,高楼层(共13层)|2007年建|1室1厅|49.65平米|南, 79万,"15,912元/平",隽佳欣苑
甘井子区,低楼层(共18层)|2019年建|2室2厅|88.78平米|南北, 210万,"23,654元/平",远洋荣域B4区
甘井子区,中楼层(共5层)|2007年建|2室1厅|90.34平米|南北, 128万,"14,169元/平",万科溪之谷2.2期
甘井子区,高楼层(共18层)|2005年建|2室1厅|85.67平米|南北, 130万,"15,175元/平",锦泉源D2区
甘井子区,低楼层(共18层)1室1厅|44.49平米|南, 56.5万,"12,700元/平",海禄苑小区
甘井子区,低楼层(共33层)|2014年建|2室1厅|90.33平米|南北西, 171.6万,"18,998元/平",保利西山林语
甘井子区,低楼层(共12层)|2011年建|3室2厅|93.98平米|南北, 222万,"23,623元/平",岭秀滨城悦和东园
甘井子区,高楼层(共6层)|1996年建|2室1厅|61.35平米|南北, 69.8万,"11,378元/平",七绣路
甘井子区,中楼层(共6层)|2008年建|3室2厅|105.76平米|南北, 180万,"17,020元/平",新星绿城四期
甘井子区,低楼层(共7层)|2000年建|1室1厅|47.11平米|南, 60.5万,"12,843元/平",甘泉小区
甘井子区,低楼层(共7层)|1997年建|2室1厅|58.22平米|东南, 62万,"10,650元/平",红凌小区
甘井子区,高楼层(共11层)|2019年建|3室2厅|112.29平米|南北, 249.3万,"22,202元/平",华润二十四城
甘井子区,中楼层(共5层)|2002年建|2室1厅|58.54平米|南, 55万,"9,396元/平",锦泉源B4区
甘井子区,高楼层(共6层)|2002年建|2室1厅|67.82平米|南北, 100万,"14,745元/平",金色阳光家园
甘井子区,高楼层(共33层)|2013年建|3室1厅|140平米|南北, 352万,"25,143元/平",华润置地广场一期
甘井子区,中楼层(共5层)|2013年建|3室2厅|134.16平米|南北, 262万,"19,529元/平",枫丹丽城
甘井子区,高楼层(共24层)|2008年建|2室1厅|61.33平米|东南北, 77万,"12,556元/平",晶品枫林
甘井子区,低楼层(共29层)|2019年建|2室2厅|82平米|东南, 82万,"10,000元/平",招商海德公园
甘井子区,低楼层(共2层)|2016年建|4室2厅|182.74平米|南北, 375万,"20,521元/平",碧桂园红旗谷
甘井子区,高楼层(共6层)|1996年建|2室1厅|63.97平米|南, 86万,"13,444元/平",七绣路
甘井子区,低楼层(共18层)|2008年建|2室1厅|88.36平米|南北, 140万,"15,845元/平",万科假日风景
甘井子区,高楼层(共6层)|2004年建|2室2厅|70.16平米|南北, 95万,"13,541元/平",名贵山庄华夏园
甘井子区,高楼层(共7层)1室1厅|37.6平米|南北, 39.8万,"10,586元/平",松江小区
甘井子区,低楼层(共3层)|2020年建|5室3厅|134.9平米|南北西, 259万,"19,200元/平",金地拾贰坊
甘井子区,高楼层(共7层)|2004年建|2室1厅|67.45平米|南北, 80万,"11,861元/平",泡崖七区
甘井子区,高楼层(共7层)|1994年建|2室1厅|66.77平米|南北, 78万,"11,682元/平",千山路
甘井子区,中楼层(共5层)|2002年建|2室1厅|65平米|南, 59.5万,"9,154元/平",锦泉源B4区
甘井子区,中楼层(共7层)|2003年建|2室0厅|50.74平米|东南, 66万,"13,008元/平",华东路（山东路商圈）
甘井子区,高楼层(共6层)|2005年建|2室2厅|82.08平米|南北, 108万,"13,158元/平",龙畔金泉三期
甘井子区,高楼层(共7层)|1993年建|2室2厅|75.59平米|南北, 89万,"11,775元/平",八十中东纬路
甘井子区,中楼层(共5层)|2009年建|2室2厅|107.76平米|北南, 189.8万,"17,614元/平",新星绿城五期
甘井子区,中楼层(共6层)|2007年建|3室2厅|202.02平米|南北, 400万,"19,801元/平",万科溪之谷别墅
甘井子区,中楼层(共6层)1室1厅|38.44平米|南, 45万,"11,707元/平",惠丰小区
甘井子区,高楼层(共6层)|2002年建|4室1厅|75.06平米|南北, 99.8万,"13,297元/平",秀水小区
甘井子区,高楼层(共6层)|1996年建|2室1厅|60.84平米|南北, 85万,"13,972元/平",七绣路
甘井子区,高楼层(共33层)|2018年建|1室1厅|75.6平米|南, 165万,"21,826元/平",远洋荣域B2区
甘井子区,低楼层(共7层)|1980年建|2室1厅|49.89平米|东, 75万,"15,034元/平",八十中四二七路
甘井子区,中楼层(共34层)|2020年建|3室1厅|111平米|南北, 235万,"21,172元/平",招商公园1872
甘井子区,中楼层(共7层)|1997年建|2室1厅|62.76平米|南北, 93万,"14,819元/平",红旗西路
甘井子区,低楼层(共8层)|1985年建|2室1厅|50.83平米|南东, 75.5万,"14,854元/平",椒房
甘井子区,高楼层(共6层)|2003年建|2室2厅|93.3平米|南北, 158万,"16,935元/平",千山心城
甘井子区,高楼层(共28层)|2010年建|2室1厅|80.38平米|南西北, 85万,"10,575元/平",福佳新城一期
甘井子区,中楼层(共7层)|2003年建|2室1厅|66.55平米|南北, 105万,"15,778元/平",泡崖美林园
甘井子区,高楼层(共7层)|1995年建|1室1厅|49.22平米|南, 60万,"12,191元/平",宏孚小区
甘井子区,高楼层(共19层)|2012年建|1室1厅|55.99平米|南, 103万,"18,397元/平",翡翠春城
甘井子区,低楼层(共28层)|2010年建|2室1厅|80.53平米|南, 89万,"11,052元/平",福佳新城一期
